Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,62.3693745050559,107.053706113053,,,,,,,,,,1810.59744278609,935.460426850415,,71.3602242458753,1273.69165910289,90.0358313130591,69.0831953321335,84.8253371946916,,,1483.00368182207,,,307.12862895614,1902.40208533539,100.673901521639,,,,,59.2971126032832,66.7700952131282,2259.25051088642,,1787.36034770201,,504.801137829134,89.5202142368479,147.277833821146,120.018193753266,,124.782358870445,256.962847338565,,,376.968785602974,446.723754402254,,,,,,,,,,203.879750917293,239.033005807284,90.3694393542218,138.889824403114,148.112849204497,,,448.114797414384,,911.613049476259,,396.392253337614,,,,,1179.35301099994,279.534497756784,1333.88157286682,,,275.585338761534,1397.5948032844,,177.087736539748,,,,,,520.322744310383,,,252.756171165062,,297.586043682694,1370.52301522054,424.056554189694,161.477559357977,,,70.0275483086991,,169.280373185389,156.325888704016,92.3119959373016,100.199236647375,,94.3276980933283,,83.0351018240893,,685.61471237976,196.323927100171,237.684587278701,1414.98226940621,1229.1747476372,804.492623346178,425.653769169703,,475.319075592173,,102.07986772692,,114.972955061661,,218.260426227979,158.274135881229,,,,,,,,,,,,144.101853916495,97.2067025448666,149.247390508287,46.8666376196476,208.334257387971,,2242.0158166161,,,,172.599319458008,,,132.670284154147,,,359.545059695095,,154.267431863839,,,,25.0958090258464,,,,,,,,,244.611029147424,2939.44319984582,,,128.530590966881,93.397047715008,,1068.78458723735,1441.75566002633,49.9938398506726,,2312.94999239859,1329.18860937447,,,81.5869472962009,476.621422214414,,263.837123795199,,116.079963538362,,97.8601208952188,717.514843087362,,360.499298506858,,,,1385.35755294697,,,,,40.1191924109337,82.5427251059939,,100.319816589355,306.641642193102,428.056183371291,,139.986125549463,,,62.8619936573756,,124.347459688187,,124.372051266564,,,371.279750815958,,,2114.00297269192,101.652865313091,,288.058144476031,186.02428722675,,103.537481624906,91.445058943596,,73.3501835873039,103.800956567278,,,,,,,82.5427251059938,124.372051266564,632.385227248664,,275.04169850244,,,55.5293371220614,,196.521005341672,477.786990828994,3007.12344537862,,155.294493767386,939.560806105492,,,,,455.598640018583,,,,529.561922745367,228.567398531142,276.643363257328
1961,,,62.4437034626929,112.128416822858,,,,,,,,,,1877.600224102,1031.8150043291,,72.0887821327769,1350.19767333123,92.3748598739587,72.173766181674,92.8551129373993,,,1581.30397963404,,,319.602802617404,1961.53813461544,107.272777234074,,,,,62.7429912996026,71.9932034722194,2240.43303945853,,1971.31632279228,,580.888646675343,75.8055607913604,160.652717209412,125.525585911057,,139.995753237947,280.579137401505,,,351.201085862769,475.196141402692,,,,,,,,,,191.907440848606,209.917177642367,79.7539070967781,143.897682830513,148.418368762401,,,369.114673479339,,992.833033356626,,450.053289246968,,,,,1327.427224366,282.215173939264,1430.43462423276,,,322.797123062224,1472.38571407868,,184.252892333057,,,,,,590.780054812393,,,253.227290034998,,315.75005543039,1433.24968456478,436.754411520393,166.454198459014,95.7237225865641,,68.1938366229847,,164.947960167928,153.848718736099,96.4699939990767,104.657452063859,,98.6152218947757,,85.9697041851008,,739.276406442666,201.374873296143,252.245141098805,1418.12586971526,1436.38443935927,887.336744604475,449.611842124857,,568.907742697122,,98.5352505590218,,113.48568408339,,221.937207763579,93.8313831944754,,,,,,,,,,,,144.102950276651,100.485369492997,145.558875298441,46.9184128164934,189.677137322181,,2222.36636636277,,,,167.165298461914,,,134.293094219858,,,378.212027746126,,150.190067150817,,,,27.2746297505933,,,,,,184.774593135907,,,235.529665759398,2991.59289654628,,,134.845575464739,97.420968283806,,1159.39235716074,1560.3249311723,51.321965344632,,2343.29221317425,1388.1884806831,,,87.5173724745356,516.031863353181,,278.477267084323,,120.27086837817,,101.273695370576,777.215027407341,,382.729946994368,,,,1447.31165434959,,,,,40.0439354124229,86.0255916605446,,106.152717590332,314.508306293179,449.148136820776,,140.098309259253,,,65.0651413420937,,128.305273696894,,128.324938652294,,,387.453277164,,,2288.92170111915,121.896820955781,,270.279646614487,198.93469605122,,108.164649153297,80.7275291854609,,75.2903098403993,110.731456497513,,,,,,,86.0255916605446,128.324938652294,676.23384290057,,282.742464109147,,,56.3280587737707,,182.601951010103,624.718632584621,3066.56286916615,,163.424987744117,954.355361285973,,,,,470.75437771214,,,,543.042223674713,216.274673627806,279.332656130284
1962,,,60.9503638210144,117.814663235976,,,,,,,,,,1854.64189048688,1087.8342434189,,73.9420079947413,1438.5232330684,91.1713923170452,77.0773338372268,95.0478052237596,,,1680.49484945793,,,331.201312612715,2020.38592936343,114.881103341666,,,,,66.4487249790147,71.439099543679,2268.58534607907,,2131.39165159983,,663.587769703281,70.9091524330558,161.390234007521,130.895301042942,,149.702466899067,296.893804730888,,,331.146214193905,493.290790986346,,,,,,,,,,234.041924772604,169.927013321055,71.8806887957081,144.191342858352,149.437190229047,,,310.444941674837,,1093.46658162966,,520.206131380005,,,,,1411.70239818044,287.369351892853,1585.73531130188,,,347.684537380648,1525.77585271032,,190.922151904581,,,,,32.8759647309217,617.057757690519,,,261.179133806117,,322.319570238758,1527.76259365431,487.821134050813,176.021651911566,98.2200652323211,,69.6126734964288,,164.339793434625,154.119508441042,99.6200779145491,109.206808155848,,101.192354776262,,90.2768689288905,,797.006288353959,207.633533944117,261.219377585624,1562.23073045837,1094.63584823375,990.26015216342,461.899099046079,,639.640785435342,,103.796652671314,,114.012204932346,,226.366964706129,106.159702780685,,,,,,,,,,,,139.685109544997,99.6633678629885,144.64995376226,53.3464978201418,186.666509987952,,2311.79884893619,,,,191.220199584961,,,138.362477855674,,,392.934591409938,,148.978434396862,,,,27.9531785715077,,,,,,185.421053800702,,,240.441757073728,3155.09753778156,,,143.283981659852,104.852749314777,,1240.67789437294,1667.2474297782,54.3095756896355,,2448.62863326468,1477.72284201546,,,89.4933355376524,545.119866520548,,164.135576713545,,125.414773624721,,105.471467258528,854.74480496849,,407.852843612372,,,,1543.96129016215,,,,,40.036849273123,89.6740592182088,,112.309196472168,313.402127599266,472.082740153988,,143.887992776198,,,67.3316493293295,,133.315718587986,,133.337573611679,,,402.891522801614,,,2468.69458903006,127.199605696445,,287.04477353783,226.877837619611,,113.59854592478,72.7668091361198,,77.4749775033854,117.162113544618,,,,,,,89.6740592182087,133.337573611679,702.559102344955,,307.306285780158,,,55.6478064244711,,181.093898135676,680.299518344434,3243.84307754988,,166.603164465444,1006.87997715942,,,,,494.545445271933,,,,560.699394468497,208.562684585176,275.966139378504
1963,,,82.0217375781519,122.370114159228,,,,,,,,,,1967.10899053653,1167.00053244585,,78.9482692944993,1535.02372901043,96.254664281872,78.829086192377,96.5522100227946,,,1792.42227428747,,,341.386111449432,2020.26521185657,121.143646712686,,,,,69.3788676158726,72.8398288511691,2374.49844764883,,2294.18284731738,,645.945373462085,74.3133717692149,183.100157507778,132.348114088454,,150.738167913407,280.993494299019,,,341.576192932674,515.429509478094,,,,,,,,,,258.760222652634,225.823391368412,75.8227314304993,157.88216558081,162.697548144049,,,362.380380486064,,1216.40797751076,,609.487384056513,,,,,1522.3192420995,293.292088819509,1758.85665897749,,,290.053632152233,1613.45688373392,,207.729323735884,,,,,38.3017869123693,695.228624389878,,,280.096636444858,,283.159407862695,1625.09206226657,565.727810358046,180.887486395956,103.047826411385,,71.5344009752158,,177.019562394193,164.717646550632,102.064845686404,112.713709636702,,103.203086924428,,101.31516498136,,852.135301717888,211.901117833205,255.719298774145,1831.70565581972,1257.81140535239,1126.01933699825,485.194081535267,,724.693762224539,,106.538811268484,,123.201024935887,,235.945308048762,146.302492590131,,,,,,,,,,,,117.962311583162,108.175215338574,155.317796663696,58.1359189458504,193.436650508512,,2441.03855530008,,,,208.087371826172,,,138.459331141725,,,424.189633975869,,160.054326704156,,,,25.8070101381722,,,,,,184.558479961491,,,292.575818466649,3283.14145300572,,,153.372050870012,108.015741558424,,1328.03664879968,1775.58265544979,46.0874475740236,,2622.2202714036,1570.74601138054,,,93.883886249529,586.073007710415,,177.331351860823,,129.609803089996,,109.20059162575,931.751665981242,,432.511729575075,,,,1643.81644939835,,,,,40.1089082198507,98.5027152274679,,111.264495849609,314.989368799574,511.202235371449,,143.690389860831,,,69.675722459319,,139.785353542118,,139.809861391504,,,420.770248419815,,,2657.02250478203,146.483040070752,,308.195248410849,237.936395234912,,115.804586927463,76.7559942143318,,82.4875111547933,121.604327045974,,,,,,,98.5027152274678,139.809861391504,755.560996547191,,347.177090597348,,,62.1040778954549,,192.888034223573,592.211679329322,3374.51517105082,,154.654877846811,1060.57032394876,,,,,523.157443296289,,,,601.59995091078,209.453361697312,277.532515496307
1964,,,85.5110734102311,130.700277588941,,,,,,,,,,2131.38029982805,1269.41258289256,,85.9647246277142,1701.84627554319,100.468087944768,80.8338598121498,94.8675576834292,,,1921.43723505182,,,355.643852872953,2199.7269680755,133.661018945741,,,,,74.0143556178776,78.3935249196352,2555.11114601309,,2501.29318996377,,675.826043903261,85.4982425898924,213.141608465837,139.780590849706,,158.135593211805,336.722068787801,,,349.901343519053,546.451968261893,,,,,,,,,,273.324719979383,238.877804941679,85.41841804367,171.009572609727,182.354077006108,,,432.958436416345,,1341.28054662075,,675.241639141208,,,,,1707.50393824701,307.619584345668,1928.99940153416,,,399.532918404111,1748.2881176141,,227.853456956148,,,,,44.0103284589378,783.705880998279,,,279.930464500156,,306.269941306908,1752.49776123236,629.591525784494,195.759934067026,109.776137977895,,77.5152876321238,,196.290290255118,180.981160436956,106.449034777694,119.904370827501,,106.288254304163,,115.487608356699,,965.135422676745,224.64111707217,292.615690962446,2297.9206432038,1375.89225589226,1222.5445404629,520.495531089433,,843.616878543607,,110.392020867049,,129.59393419026,,251.931896067672,123.606374492665,,,,,,,,,,,,121.564641228932,118.628432275365,172.671362879125,62.2621017651425,218.692918155221,,2755.63311653279,,,,213.755981445313,,,142.536192337507,,,485.800050021921,,178.346255541985,,,,17.3318333574982,,,,,,239.377865694228,,,302.676168311571,3480.4269445579,,,148.035359949588,113.658375312078,,1541.94736519029,1937.88461385928,45.0883337541626,,2813.54697563939,1693.73611789362,,,102.961207229136,610.42965533351,,186.540925127035,,140.346964111083,,116.413125686102,1006.43444609497,,468.781081635443,,,,1773.05960600862,,,,,39.8328228603645,110.128145753277,,111.167320251465,324.436765207935,485.530686047381,,150.448577580521,,,72.0978243643292,,148.842968238747,,148.869955604287,,,433.145980508431,,,2941.04889945204,171.66507897049,,332.304985875279,257.454144715355,,119.82808119843,86.4703094118807,,93.7037153803746,129.579038867105,,,,,,,110.128145753277,148.869955604288,779.389256562872,,365.133869164746,,,68.7768189251864,,217.825050139449,742.952068369687,3573.94118474743,,163.884561731339,874.199411450159,,,,,562.075828983161,,,,642.688430727524,236.941713145039,282.376856353524
1965,,,105.243195716467,137.301801444326,,,,,,,,,,2281.01195611049,1374.53213986075,,50.9904202202224,1835.59476553194,105.966855710067,81.993526810528,100.967875859392,,,2073.82969066231,,,382.590664740267,2282.21657257181,145.384943287318,,,1059.00024693338,,80.1938724714593,81.4282699706318,2770.36180408145,,2620.475547353,,679.124245659146,98.4864176995115,204.717059183848,143.070467741863,,164.250532567942,315.212329517137,,,369.980559658079,578.953262899023,,,,,,,,,,229.559605367368,253.309059020723,97.0886926860336,179.223537444957,198.33169679874,,,447.234479370486,160.5747365455,1453.1927430014,,774.761609330096,,,,,1882.08685764849,313.606852799476,2060.29971514635,1594.52271011187,,413.625221728406,1873.56777435421,,263.77887171758,,,,,219.47843575924,899.281238912995,,,278.828138481721,,327.949859225827,1881.29292043593,676.805507110096,211.631956363001,118.646731426167,,82.6446044443266,,210.322530693736,194.025420994021,114.55923249079,126.870998483419,,115.633633952579,,119.082475942029,,1023.77372640936,251.239039884272,,2723.52094989073,1429.31460528027,1304.45381661965,556.48105907299,548.490188240503,928.518848597045,,105.96765270555,,140.756742045375,,261.341362697125,108.723112442051,4081.42449229397,,,,,,,,,,,153.899850853149,124.933979433607,186.009290478387,63.7976076445663,243.13055971612,,2780.09271886584,,,,219.482788085938,,,144.203831948482,,,511.020744985416,,192.236132518313,,,,15.11322745289,216.158711461081,,,,,264.431360769995,,,325.193319349042,3729.96970361317,,1763.47505484702,166.122986027187,117.665370767225,,1708.09635648862,2164.46882336736,65.456270721336,,2151.29492695315,1814.61199246847,106.566389620905,,114.372018643314,650.476057490103,,198.666145086048,,154.882306938584,,122.735065640867,1110.83269082498,,520.910659367884,206.978830530206,,,1905.28370468266,1789.0689381504,,,,44.4360635734424,115.553605395745,,112.605422973633,320.895958913271,516.531928636745,,142.635575965101,276.055462703955,,74.5888175270423,,157.677053439089,,157.700508715659,,,480.114866274851,,,3206.09917020339,180.986080671233,,328.484883920328,247.714365755592,,124.965247321126,98.2846204214655,,102.889871423104,141.851950517512,,,,,214.363715929141,,115.553605395745,157.700508715659,793.321495038193,222.343486242876,381.413343185909,,,100.180847188397,,239.324076952451,706.269354948246,3827.52710972039,,165.127007624399,869.906867323502,,,,,599.277051008841,,,,681.13111132363,296.022427096471,294.893604869097
1966,,,143.103233209791,143.01256159062,,,,,,,,,,2343.81978965369,1486.96860600566,,51.8086400759858,1957.62608042762,108.628226625001,82.7592154034261,106.85572352998,,,2246.84945447817,,,411.338346967893,2630.8504967732,157.585574913804,,,1179.05031256938,,89.5280642807461,83.6115981980001,3047.10614707958,,2784.73354771646,,781.806100879469,104.32418478637,219.237831575161,145.998945816446,,177.611094271872,288.575890071302,,,391.21128802986,618.508089384323,,,,,,,,,2487.13618090884,246.771454870595,241.002571747501,103.342264115179,170.966246292931,216.058666431757,,1036.58854589152,442.033166805835,166.956112159799,1572.32273670071,,889.659872011529,,,,,2010.21345619725,312.224375911363,2209.0001728109,1748.73404167402,,442.376367118251,1986.74715869685,,266.598422153923,,,93.7187073536992,,229.207640033564,997.430467475556,,,283.192724592174,,344.830736267723,2041.32474559795,685.926614135084,222.244852846387,125.071990082293,,84.7583097584743,,207.682744904929,193.37472155339,120.535723983576,134.446427162663,,121.113559457025,,89.7575826115815,,1074.50650554958,267.334102601745,,3215.69417804329,1513.88360593382,1402.44235441032,620.05749724315,561.064604995102,1068.55843990563,,118.796960011357,,145.142456186822,,285.481881098132,133.479834432364,4228.74537064385,,,,,,,,,,,155.001224210341,112.1908854121,184.619289733845,63.8627606970269,257.314505171344,,2900.43321843978,,,,208.522933959961,,,151.650046145478,,,550.46988331057,,190.447612417764,,,,11.7926764430673,219.393186391029,,,,,267.954568240957,,,336.556442214153,4044.24721526448,,1756.21964112473,168.315376938957,124.791856425784,,1835.80142351034,2317.19488382656,79.0580829351478,,2191.31254193959,1967.08028207338,111.532073542743,,123.330470854894,687.789067741262,,213.293915575289,,172.130215215004,,130.927647108588,1207.81182440348,,575.007680668221,212.157757735878,,,2068.40848045189,2108.49965830348,,,,36.157068396837,94.9900609210916,,112.527740478516,321.203017305907,566.803974405961,,146.174646773381,284.567032692513,,76.7446650305386,,165.01562952556,,165.03881978318,,,573.098253156782,,,3454.42978938679,192.698632496063,,337.64622904411,238.398373768076,,127.342662199173,104.612918762664,,114.815964744843,165.57745418898,,,,,217.571331575887,,94.9900609210916,165.03881978318,767.808618019296,228.832444110973,438.258608945418,,,101.637299632747,,255.86279415297,666.987641642522,4146.31664631665,,173.19792753747,877.196049354598,,,,,636.062254753802,,,,718.118179105876,334.672527658699,279.337779057297
1967,,,167.165674606148,127.32526763253,,,,,,,,,,2580.11059164641,1569.66718289967,,54.4503050875793,2086.63600544654,107.682861579389,84.5594912907854,116.796320541279,,,2466.52008844272,,,425.732250385276,2982.74961719905,174.203292040615,,,1181.94254125992,,101.330609099125,84.8432453513909,3217.15929360795,,2960.72258588384,,756.731234314249,96.5891788251155,222.975513933606,156.679770525671,,185.711647966232,301.136382485833,,,409.983118355561,654.127295333126,,,,,,,,,2700.74628964677,251.842578431878,261.366233944322,97.8754185822567,181.579369539118,228.66995764537,,1105.76355147624,451.289129928505,172.963857440933,1695.94238158419,,968.306781765983,,,,,2034.18904965478,328.781570669677,2363.66966905413,1778.62715686756,,481.088520308582,2058.78188198056,,212.85527066079,,,96.2521683952769,,234.512140883211,1068.11455622703,,,287.968047136813,,370.596670224209,2167.48025651804,723.239225616661,234.779471771704,126.233944569221,,83.2726932437586,,211.027389096111,196.32503327563,121.873532979326,131.65508780049,53.3381957238127,124.91787350296,,96.0463298450023,,1152.00495214994,289.108984961395,,3125.64949185014,1468.12386156648,1533.69287748547,641.141032975626,499.0832969851,1239.31837741267,,120.826516103627,,149.827335997696,,339.8148582676,161.159443282246,3930.18988310576,,,,,,,,,,,160.700348714315,117.2199599359,187.687665016061,64.4906877890851,247.092177937014,,2909.66062936858,,,,214.980865478516,,,156.805047094832,,,581.729450555001,,193.418500682757,,46.7851945218105,,16.5235281727641,231.177889423518,,,,,275.724405864908,,,332.800673787474,4231.8673508104,,1865.66598599856,154.99371426486,99.8574044411854,,1991.36068565042,2514.04377214705,71.8678970508123,,2188.39913862561,2086.35282740733,172.258195571442,,136.638092510909,743.582215730027,,223.153532833099,,190.183089671616,,125.82313870851,1335.27411162524,,646.82272006084,219.075346405282,,,2198.79470137129,2084.85652744545,,,,44.9533092489254,102.170985615265,,118.762298583984,311.786295643965,626.029437593984,157.850551664175,133.145916733314,291.002444098585,,78.9650664687988,,164.473338437853,,164.495691683153,,,642.279261975438,,,3720.92684527721,182.502526855448,,333.233798841887,252.252422122305,,129.945113856646,99.0815626559551,,118.388872711839,171.69837367649,,,,,229.258173693377,,102.170985615265,164.495691683153,797.31780167583,232.922369395447,473.693827120122,,,102.969889512895,,254.542565877039,584.638472485047,4336.42658722171,,167.776758627472,894.683817771574,,,,,665.614325123097,,,,775.152812003371,350.653425227771,295.056449265782
1968,,,134.012768293881,128.366810603031,,,,303.323440862974,,,,,,2724.1306715175,1677.67352804272,,54.647465679035,2222.36151051913,112.477967965441,84.9193257057578,116.940534816855,,,2688.94425577987,,,391.899934684781,2830.18867924528,193.503110289103,,,1309.97878748449,,113.700974707583,97.0848054732002,3462.67887195794,,3121.8890308772,,757.741289718022,91.4723838962347,253.713739470316,170.745595544227,,190.898663327729,299.922605075449,,,440.600668745405,640.562461457554,,,,,,,,,2776.13539044344,255.053503091676,292.02898396616,96.5013717995825,192.666541803383,245.951166740531,,1146.21912300323,443.242230825046,178.65710803919,1808.09690820432,,950.545740593734,,,,153.239154949588,1907.07727217667,329.960210077899,2553.97584327959,1732.30578439189,,513.359339770806,1951.75859587532,,197.984862552573,,,82.4601490452896,,214.110158453296,1154.43853055613,,,310.661745203358,,334.967713340536,2326.6145142472,714.48296958061,246.589568666502,128.073047990007,,81.517126850435,,216.97774364155,201.454185930138,123.707358764556,135.375333235986,64.8391799472623,125.815980323945,,99.5168361228774,,1124.51663608246,320.858644114884,316.356168888835,2354.48002671305,1647.87727434891,1651.93937679756,598.076233441448,410.582255182835,1451.33770268101,,127.502462924888,,162.627273340246,,305.618353847442,198.434884397043,3909.45892538349,,,,,,,,,,,152.053065555183,122.418858536797,192.56262924298,64.4769058099227,241.004301462308,,3175.36736882691,,,,224.749465942383,,,164.526757139994,,344.903347898653,622.425063446123,,198.722821823443,,57.5469817836491,,21.500297762959,247.561705026154,,,,,294.772813945128,,,339.096538995784,4579.98225992377,,2165.90113134603,145.138275819416,97.7445271190022,,2185.24865888657,2662.11749153117,64.5116875170472,,1885.15615175625,2236.9616840483,296.338362098721,,143.287946280962,776.950403384872,,242.868359176618,,204.257462725364,,127.452799393694,1480.69317642251,,719.08049185329,224.881062211479,,,2362.70242799385,2363.51950731967,,,,47.0233609411225,104.656116553777,747.206073728801,120.766929626465,317.99254428844,708.601436896422,171.273641137717,123.482884773708,293.25776715087,,81.1681185453728,,170.518814387413,,170.53523067517,,,678.964069902213,,,3926.40900146965,189.831335694759,,314.351070663894,264.227758198961,,128.72404387264,97.6934709015456,,118.67817846696,179.872370025395,,,,,245.505937061042,,104.656116553777,170.53523067517,784.231408733501,253.848674006404,516.466806309454,,,106.986351842489,,258.421977405136,578.224870741469,4695.92339043178,,160.299922721861,940.201419857183,,,,,703.867108145166,,,,813.508496698077,398.557506182322,302.802870938147
1969,,,134.250359614672,142.327523480764,,,,321.26620197515,,,,,,2991.38594710418,1825.38612552124,,55.5437751186298,2458.08182003773,111.695272922752,86.7151168089871,128.60792611519,,,3057.32296102325,,,401.201110501414,3053.7037037037,205.152302364624,,,1259.33690936537,,131.850465381855,93.0187696135328,3763.95337938417,,3344.78360254639,,865.714306693748,100.129537206454,259.052653233485,175.073317151974,,195.500650525828,316.305007317933,,,472.671832376645,687.929552213511,,,,,,,,,3151.13316134695,282.68159966772,315.562094366232,105.42236652453,208.097356866117,276.079077851142,,1256.81208666988,518.95056298359,191.91857401303,2004.36483808309,,1077.67869994591,,,,163.661134824174,2178.03525044982,352.415829136106,2767.61543140447,1844.37838169653,,544.148931420957,2100.66786858672,,227.323020593319,,,87.9293425729252,,210.840701422362,1324.05898884761,,,322.437529369749,,358.231345889392,2533.76309959271,825.523449142012,247.28094630117,134.131136074179,,85.2405733765091,,235.822710300581,218.724938903731,133.596513282566,150.834706213047,74.3422145957489,133.241771412891,,107.182143141928,,1291.34992028637,352.45263457082,317.383377516595,2039.19629517262,1852.39253852393,1813.38812575706,649.312824221301,476.586453919396,1684.65940266378,,132.104957588242,,146.544314870405,,343.556952422239,243.426137656633,3726.83029850243,,,,,,,,,,,162.184391972791,132.704386590618,209.22715542437,66.7753544231408,263.810627564186,,3658.90068296888,,,,244.286651611328,,,163.773332253724,,371.121913000531,666.74338594872,,216.196830608695,,56.075074366601,,21.4503142989485,267.3677980104,,,,,270.989747264912,,,364.208619684637,4912.48759451772,,2529.89270517708,137.765562322856,122.042417484547,,2642.95611830093,2875.23584396858,64.4743368549624,,2077.89554302301,2432.55725307588,367.200701354136,,150.547804055257,828.585278483546,,262.405242856398,,226.77151475951,,137.645933534495,1661.86688523369,,795.759371391099,236.205874172824,,,2574.01829769716,2134.77485780459,,,,49.9486714635381,112.420918102101,767.476157091721,129.55973815918,293.627996458343,812.677487316618,169.87281039698,150.043447969877,297.199796769036,,84.5059668790355,,187.449465036007,,187.460695724735,,,706.303826254427,,,4234.16134821018,244.386339748652,,314.179858636278,293.976420156738,,131.186559444941,106.724781532136,,126.259957932152,192.463401878414,,,,,265.147559003748,,112.420918102101,187.460695724735,796.205353949657,262.433824542256,560.643749585397,,,116.779452615965,,281.868328378781,722.590683226513,5032.14474262003,,171.426806416408,934.047607407377,,,,,759.485583624467,,,,887.246702285698,472.640292674258,346.538920332273
