Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,537777811.111111,10411646287.3058,,,,,,,,,,18606562977.0501,6592693841.18495,,195999990.0,11658722590.99,226195578.434497,330442815.821186,4274894083.33333,,,169803921.568627,,,28072478.0724781,84466652.5888912,373250000.0,,,,,30411413.6552828,112155598.492157,40461721692.6468,,9522746719.21614,,4110000000.0,59716249310.9742,546203558.456965,614206068.497266,,131731862.783017,4031152976.63904,,,507513829.994855,1880323270.32846,,,,,,,,,,672399700.0,2723615451.30098,81012790663.6159,136037236022.39,154531117498.847,,,2069464936.59762,,245575034484.154,,12072126075.397,,,,,5224102195.52771,112328422.113084,62225478000.8822,,,141468977.799846,73233967692.1028,,1223943661.97183,,,,,,4335186016.83942,,,1043599900.0,,170216241.126064,1069197896768.27,1320796651.69457,335650000.0,,,273187199.78145,,322368517172.599,359232559357.172,36336364788.0179,12062060259.0308,,25774556773.0798,,37029883876.1839,,1939329775.43739,4199134389.9037,1683918766.43249,248434096.968726,2598500000.0,40385288344.1911,699064380.374248,,44307342950.4,,791265459.493816,,637142865.714286,,12366635.7500773,3958811881.18812,,,,,,,,,,,,1409873949.57983,88053021489.1177,334788568015.762,34579986.1680055,228240330055.213,,703925705.942958,,,,2037154741.93211,,,673081724.751168,,,13040000000.0,,325105674243.531,,,,545098463.820274,,,,,,,,,1916229477.13657,583846188345.236,,,449526873.29589,4196174501.5302,,12276734172.0828,5163271598.15702,508334413.965087,,5485854791.97096,1073493800833.99,,,3749265014.69971,537147100.0,,7515894110.56487,,230496036.879366,,18445154513.7625,1691900000.0,,3193200404.37297,,,,1046741634199.01,,,,,119000024.0,47147779567.0292,,1127011494.25287,1003692370.46869,704751700.302494,,322151470.588235,,,180459936.776025,,28339677509.8764,,28350468421.4233,,,99650000.0,,,15822585033.5764,35076845.9692616,,12012024.6246505,857704413.407821,,313582728.147574,80911608954.4867,,121128072.620015,2760750860.62197,,,,,,,47147779567.0292,28350468421.4233,535670127.748935,,7566666666.66667,,,423008385.744235,,236136360082.974,1208333333.33333,543300000000.0,,13066634.0000817,7663938303.07172,,,,,1381135538261.78,,,,8748596500.5614,713000000.0,1052990400.0
1961,,,548888895.555556,11135924727.9409,,,,,,,,,,19682883149.2613,7311749633.36229,,202999992.0,12400145221.595,235668220.508202,350247234.260712,4817580375.0,,,190098039.215686,,,29964999.965,89249985.1250025,406000000.0,,,,,32902612.8664855,123134583.463559,40934952063.9468,,10712712465.0522,,4829238095.2381,50056685957.359,618245635.134801,652777608.320492,,151675738.926342,4540447761.19403,,,490325181.614275,2038320109.62081,,,,,,,,,,654100200.0,2434747055.94018,71458883064.7028,144519229589.21,155127329777.047,,,1753850954.83979,,269780402441.136,,13834300571.4849,,,,,5921659485.03284,116987784.913739,67461644222.0352,,,167637907.122782,77741965703.3544,,1309859154.92958,,,,,,4961400439.31722,,,1076699900.0,,185849535.376162,1132150856599.29,1383681651.13776,356200000.0,16026816013.7039,,271065999.783147,,317696787509.863,358391174767.024,38921905620.4699,12908490535.3329,,27624182442.7142,,39232435784.0358,,2088012282.35667,4426949094.8403,1831479827.40807,253885656.329253,3138500000.0,44842760293.1924,748043500.7826,,53508617739.3778,,792959472.816211,,642857134.285714,,12483302.125078,2417628736.52655,,,,,,,,,,,,1444327731.09244,93212358127.1692,331008146544.328,35699985.7200057,208214091430.383,,704145671.350213,,,,2025693539.55842,,,699161944.558097,,,14160000000.0,,320673160745.599,,,,605581577.287066,,,,,,159213430.245265,,,1901856122.72231,604324202049.072,,,485785230.978987,4467287893.08484,,13493833739.9949,5632460936.54576,531959561.160121,,5670064168.21773,1136693306880.0,,,4118647627.04746,599026300.0,,8171194424.94498,,244832039.173126,,19534782348.2519,1865100000.0,,3417516639.37596,,,,1106728704067.59,,,,,122000016.0,50307314798.8582,,1223563218.3908,1058975256.97025,764629788.123689,,327979248.366013,,,191659914.376034,,29951631334.5859,,29961725657.4622,,,107700000.0,,,17212686614.5726,43026042.7895829,,11592023.7636487,945244972.067039,,333975336.110722,71369633800.9542,,126396468.676344,3034037810.96795,,,,,,,50307314798.8582,29961725657.4623,584961208.656595,,7988888888.88889,,,441524109.014675,,220490841490.862,1600000000.0,563300000000.0,,13999965.0000875,8067267030.61863,,,,,1446356012998.97,,,,9225996309.60148,696285714.285714,1096646600.0
1962,,,546666677.777778,11951712282.0428,,,,,,,,,,19922563187.6101,7756110210.11966,,213500006.0,13264015675.3193,236434954.038578,379567099.249422,5081413541.66667,,,212254901.960784,,,31857591.8575919,94149984.3083359,443916666.666667,,,,,35644956.6430429,124482773.83306,42227447631.9159,,11879982758.5619,,5631285444.2344,47209186415.3555,645284474.559229,694247864.3789,,166521239.650243,4955538218.81618,,,479180824.348506,2153914775.5786,,,,,,,,,,824100000.0,2001444543.91885,65257525577.138,148511640353.484,158343678297.945,,,1518207703.89016,,299724752489.19,,16138545209.246,,,,,6340580854.39073,122906434.957814,75607529809.9288,,,182796536.266025,81247564156.8246,,1390140845.07042,,,,,9122751.45318345,5213047711.42704,,,1143600000.0,,194949512.626218,1222092258455.51,1612346412.26475,387750000.0,16850176783.9731,,281896799.774483,,322205643058.634,365922300420.443,41209835040.7895,13804264743.5784,,29069039402.2727,,42161481858.0819,,2260349684.08625,4693566416.48346,1954399498.2402,284916516.159537,2510000000.0,50383891898.9911,777727688.908924,,60723018683.7333,,868111400.75544,,660000008.571429,,12541635.3125784,2814615384.61538,,,,,,,,,,,,1434156378.60082,94672762190.6757,335323566201.485,41859983.2560067,207599833190.88,,741509480.796284,,,,2379611124.61442,,,739286907.592778,,,15200000000.0,,324168102362.166,,,,634528851.479189,,,,,,164271557.562086,,,2001489602.18475,647421597616.224,,,531736599.250464,4909399176.24033,,14647057370.1418,6066976682.67364,574091100.695641,,6077496267.76294,1226937167068.74,,,4310163796.72407,652120900.0,,4954593071.82796,,261184041.789447,,20835814948.7811,2094400000.0,,3668222357.65702,,,,1194982342937.03,,,,,125000008.0,53695416445.6081,,1329022988.50575,1085475790.59112,826239211.817511,,342872712.418301,,,203531927.547229,,31893996575.2321,,31905097549.7734,,,116150000.0,,,18667251380.0746,45927961.6288154,,12642025.9161531,1110565880.75881,,357635713.41932,65176021558.8546,,132237468.076856,3308912796.93487,,,,,,,53695416445.6081,31905097549.7735,619319197.340022,,8922222222.22222,,,449012578.616352,,222023728315.224,1763636363.63636,605100000000.0,,14524963.6875908,8814309884.21165,,,,,1546369233664.91,,,,9813996074.40157,693142857.142857,1117601600.0
1963,,,751111191.111111,12685805889.8937,,,,,,,,,,21539843446.375,8374175257.73075,,232749998.0,14260017387.0492,253927697.25805,394040667.106335,5319458562.5,,,237745098.039216,,,33750113.7501138,96366650.6055582,478000000.0,,,,,38091842.8546863,129379123.76305,45029988561.2124,,13063643795.7884,,5591307028.36005,50706614526.1472,761047198.973677,718320845.044338,,172233430.657858,4836166666.66667,,,511902136.809973,2290333704.26433,,,,,,,,,,940799900.0,2702982017.63803,70599611075.0736,166775260631.99,176591740764.433,,,1824343870.41393,,336358141577.651,,19074913947.7196,,,,,6885920328.66187,129454728.623599,84759195105.8693,,,154480244.055222,86561961812.3249,,1549295774.64789,,,,,10840095.1283649,5895278024.09202,,,1262800000.0,,175757893.938598,1316051012188.71,1935298266.45384,410200000.0,18119164975.2103,,294883399.764093,,355289052660.65,400480365897.109,43301349535.6798,14609998946.4359,,30407024170.2777,,48421923459.1235,,2430843768.44553,4928628018.38759,1978199488.7202,340061650.119898,2992333333.33333,57710743059.8341,826706669.317332,,69498131797.3333,,926589349.36426,,728571437.142857,,12833301.2500802,3988461538.46154,,,,,,,,,,,,1240672268.90756,105240694239.806,368807897648.817,47039981.1840075,220125404425.669,,791140595.772755,,,,2657252578.30763,,,759345863.732667,,,16960000000.0,,356741453797.079,,,,598998434.722941,,,,,,168186297.204107,,,2510110348.16184,683726355211.818,,,586294878.744643,5165590253.7639,,15891241386.291,6510239502.76489,496947904.443033,,6638937283.13963,1322131904575.66,,,4630827383.45233,722784500.0,,5505023238.40669,,275968044.154887,,22103620553.9495,2333600000.0,,3905734459.72693,,,,1287212060586.62,,,,,128000000.0,60396894530.4729,,1352011494.25287,1122139861.67805,917608012.491752,,348700653.594771,,,216145935.941626,,34282761516.5201,,34295088187.6344,,,125950000.0,,,20204870629.7441,54129438.3482247,,13923028.5422085,1200447408.37696,,371767002.194886,70511435007.3945,,143255813.159996,3540403456.55305,,,,,,,60396894530.4729,34295088187.6344,678235373.038558,,10355555555.5556,,,516147798.742138,,242268291060.732,1553333333.33333,638600000000.0,,13708299.0625857,9608717288.17057,,,,,1670666095533.53,,,,10854195658.3217,718714285.714286,1159511700.0
1964,,,800000044.444444,13848998668.6184,,,,,,,,,,23801123808.1798,9169983885.71185,,260750008.0,15960106680.6732,269819005.87814,410321644.964911,5386054833.33333,,,266666666.666667,,,36194586.1945862,107566648.738892,538583333.333333,,,,,41616347.7906865,142025078.735754,49377522896.703,,14480556571.5476,,5964195925.4443,59708125203.8643,921063326.292797,776650176.904453,,185693724.905233,5973366666.66667,,,542578367.242598,2470286396.10897,,,,,,,,,,1025599900.0,2909316435.2874,81488124865.1322,185276934941.442,202562423066.157,,,2244146103.18342,,374154739325.544,,21343844643.7341,,,,,7766655085.78588,140032741.468329,94007851047.3678,,,215679855.342091,94407558351.1616,,1740845070.42254,,,,,12712471.3960211,6669673257.1183,,,1299099900.0,,194774513.063717,1436550565253.7,2206466461.26434,457000000.0,19792070134.7811,,325281199.739775,,403092988661.61,450427625806.104,46332373824.9291,15943425914.9181,,32129473242.2568,,56480289940.9899,,2766608945.87402,5379845647.70139,2340239343.90426,434267936.914583,3405333333.33333,63175417019.0094,897949000.8204,,81749006381.5111,,998759334.496266,,782857128.571429,,13416633.1250839,3459019942.79079,,,,,,,,,,,,1309747899.15966,118195775046.422,419825300164.763,51939979.2240083,254422246967.641,,903158753.943622,,,,2798345298.57781,,,802482183.728778,,,20080000000.0,,407002850853.176,,,,411419905.846621,,,,,,224495743.784017,,,2674423922.48842,735285089545.442,,,582816396.404409,5552931318.82747,,18699380731.3465,7159202706.48027,496098775.308642,,7274144350.81809,1445096831239.7,,,5204955900.88198,776137500.0,,5953756194.80988,,305312048.849928,,24153436876.8383,2570500000.0,,4235608177.67102,,,,1404371222750.03,,,,,129999994.0,69145880249.9011,,1389080459.77011,1188930645.34423,894153311.424857,,372012091.503268,,,229529912.668035,,37436931574.0567,,37450615380.9293,,,134400000.0,,,22532416750.0125,64980554.0077784,,15393031.5557147,1339494267.01571,,392247517.728482,81386349482.7507,,166104078.476452,3889129942.30769,,,,,,,69145880249.901,37450615380.9294,711893367.55527,,11177777777.7778,,,589056603.773585,,280066549216.359,1970588235.29412,685800000000.0,,14758296.4375922,8192413793.10345,,,,,1832615597845.83,,,,11955995217.6019,839428571.428571,1217138000.0
1965,,,1006666637.77778,14874755833.5382,,,,,,,,,,25976164156.1863,9994070615.85997,,158994962.962963,17371457607.9374,289908680.426395,422916789.7483,5906636791.66667,,,300392156.862745,,,40110040.1100401,114339050.285848,598333333.333333,,,114039500.591268,,45788696.3343915,150574795.409863,54515179580.7148,,15346741669.7575,,6108679125.7523,70436008642.4251,919771228.036518,814083265.511426,,198318064.028924,5760761904.7619,,,592981162.264151,2661011039.83332,,,,,,,,,,888100000.0,3136284306.85469,94903578451.448,199046271838.632,225488669971.227,,,2387047395.70254,4948667540.41066,408976374349.607,,24756958694.9238,,,,,8589340019.02985,147084750.031482,101537248148.427,57954522.4217259,,226474285.779063,101824755078.991,,2064788732.39437,,,,,64748333.3333333,7689154053.35866,,,1331399900.0,,213235294.117647,1560159896845.17,2435078534.03141,508650000.0,21943615212.3629,,353251799.717399,,441790286680.337,494225524250.363,51171699794.9081,17311888391.6935,,35873097191.7035,,59554854575.8085,,2945704142.99765,6197319929.04038,,523694949.370689,3663333333.33333,67978153850.5191,972159611.136156,599759760.096096,90950278257.7778,,997919320.832272,,868571428.571429,,13593932.3220537,3120861498.91442,2097199161.12034,,,,,,,,,,,1698319327.73109,127438148871.204,463017846828.66,54879978.0480088,289200342493.244,,921600736.304026,,,,2948331090.46752,,,833563472.9981,,,21840000000.0,,449100685221.437,,,,367053111.334591,23870832123.1501,,,,,255340475.018083,,,2956337669.29525,798329518631.001,,159594492.463655,673383510.812866,5874537650.18494,,21000586933.2041,8058681060.159,735267081.655502,,5654463586.00366,1568558028052.79,63279974.6880101,,5929231415.37169,852485300.0,,6517349771.93386,,344176055.068169,,26110927390.6421,2881500000.0,,4687464054.83455,443587301.587302,,,1525817187832.12,176534588.403052,,,,148799980.0,74260412305.0249,,1447701149.42529,1210058228.17112,974644096.144674,,359523809.523809,877720000.0,,243725898.029641,,40685576290.5024,,40699119254.4017,,,154150000.0,,,24795499685.775,70279971.8880112,,15603031.9862156,1329842434.55497,,416926303.316872,94785047708.444,,187300310.379132,4388937649.03846,,,,,23672607232.2117,,74260412305.0249,40699119254.4017,736568861.926151,991047619.047619,11966666666.6667,,,884502309.953801,,314986131154.743,1893103448.27586,743700000000.0,,15108295.5625944,8427777777.77778,,,,,1994519287845.18,,,,13068994772.4021,1082857142.85714,1311435800.0
1966,,,1399999966.66667,15845575303.2224,,,,,,,,,,27307844369.2551,10887682273.1014,,165444571.428571,18651883472.4808,302925235.151997,433889766.239436,6439687854.16667,,,340000000.0,,,44450044.4500445,134173375.335433,662500000.0,,,132757528.044374,,51465655.3921083,157930018.091087,61088384036.6515,,16480058704.8531,,7162633082.31628,76720005491.8964,1024102881.90257,851112534.552636,,220613581.972601,5428518518.51852,,,647305630.188679,2888720383.68635,,,,,,,,,11931739858.7046,983900000.0,3039859187.45164,103790138430.232,194538356325.161,251973597080.543,,738130953212.589,2429308638.838,5278005611.91453,446231131338.637,,28721062242.1634,,,,,9208524504.87684,150603925.515853,110045852177.928,64397131.0846457,,245849781.273234,108572752102.045,,2138028169.01408,,,44212081.3502297,,69110000.0,8591517943.60129,,,1390700000.0,,228705882.352941,1711488832313.27,2489845016.64894,549950000.0,23731783507.4447,,368948599.704841,,446545376934.335,504434064645.33,55259720905.8155,18831144035.8073,,38560944825.1861,,45865462034.2857,,3104034393.23162,6789938671.75094,,628893310.399926,3980000000.0,73654870011.2757,1096759561.29618,657999736.800105,105628070343.111,,1164519674.19213,,914285714.285714,,14469078.1796966,3929055143.5021,2391199043.52038,,,,,,,,,,,1751470588.23529,117110879145.822,470788223904.724,56699977.3200091,313491320968.049,,968440149.470951,,,,2876401297.10759,,,900264584.590829,,,24320000000.0,,455768780938.891,,,,293103482.360211,24881410228.5071,,,,,266533605.165576,,,3143517943.82632,876222557411.987,,164206536.445162,702296078.593173,6366917453.23302,,22867203317.4022,8696460205.3397,906811943.824649,,5863733230.97616,1721564335988.78,67759972.8960108,,6561108777.82444,928833000.0,,7189017887.69231,,390992062.55873,,28562280602.7415,3170500000.0,,5135387845.97108,465888888.888889,,,1673612181151.43,215659453.550939,,,,124525702.857143,62444760597.9718,,1485344827.58621,1246908185.96343,1096425608.09089,,375630252.10084,929520000.0,,257375897.049641,,43680512213.299,,43694688022.9536,,,190350000.0,,,26971486546.2848,76859969.2560123,,16443033.7082191,1321204502.6178,,432794921.680489,103660508732.117,,216136231.361648,5279230817.30769,,,,,24674793433.4371,,62444760597.9718,43694688022.9537,723735635.536371,1040952380.95238,14100000000.0,,,925381492.370153,,345233462869.18,1805555555.55556,815000000000.0,,16099959.7501006,8781333333.33333,,,,,2161645029633.13,,,,14211394315.4423,1264285714.28571,1281749500.0
1967,,,1673333417.77778,14428492961.8549,,,,,,,,,,30442724870.836,11579431668.9165,,178297142.857143,19992040788.4593,306221953.104911,450753923.548048,7253575687.5,,,390196078.431373,,,47431255.747674,155102980.09435,748250000.0,,,139029537.243321,,58642354.089673,163820513.562432,65668655501.1254,,17740013179.26,,7057478295.18548,72881364882.4909,1082922725.79069,936175260.030919,,237397428.13501,5825170438.48704,,,699456618.867925,3102560430.51167,,,,,,,,,13059064374.6287,1034800000.0,3370870376.29682,100856102485.7,211738371298.049,273161617537.021,,794915876429.053,2553595172.08743,5605484298.98275,484883784440.119,,31647119228.1982,,,,,9368954010.3132,162625885.863484,118972977486.207,66225403.5588069,,271543680.048895,113116888210.787,,1748837209.30233,,,46695006.9579374,,72317446.9327193,9275600800.35644,,,1453500000.0,,250176470.588235,1836230315691.63,2692474989.12571,598100000.0,24583120135.7348,,369124199.704701,,464147516106.012,524205955523.679,57356916949.9126,18927886745.9412,5667756627.92093,40830378440.7447,,50134942204.0,,3343636773.36759,7555383690.16,,621225962.154708,4030000000.0,81133120065.4202,1148014310.8255,631679747.328101,123781880217.6,,1232559506.9762,,962857134.285714,,16742338.2519864,4855892445.82682,2441599023.36039,,,,,,,,,,,1859465020.57613,125204727481.121,490026006685.961,59261976.2952095,307948783972.162,,974721762.535327,,,,3046345314.38655,,,956436932.101291,,,26560000000.0,,473852152041.677,,275494477.586098,,420359035.897436,26936465307.3992,,,,,282615310.216284,,,3188924677.08953,927523758481.22,,180036767.648861,665586872.274446,5203237918.70483,,25087562181.3218,9514496703.39762,841974025.462659,,5961418093.53003,1848030179343.33,107151832.489651,,7464510709.7858,1034376400.0,,7724873935.12821,,441728182.676509,,28149360703.3393,3532700000.0,,5740241165.63433,492674603.174603,,,1796591761674.64,220984367.626581,,,,159560018.0,68699960050.5407,,1608333333.33333,1246480765.97984,1238035815.78586,25203524.0325638,348895027.624309,976200000.0,,271781886.807245,,44668207738.6622,,44682488650.6727,,,220700000.0,,,29275995674.6888,74759970.096012,,16632032.1339974,1443717801.04712,,449826322.613453,100730137280.181,,231706439.672193,5638461442.30769,,,,,26712783205.733,,68699960050.5407,44682488650.6728,761981474.023359,1085714285.71429,15644444444.4444,,,967240655.186896,,351717338837.596,1597142857.14286,861700000000.0,,15835106.0327781,9250000000.0,,,,,2308597106940.33,,,,15821393671.4425,1368000000.0,1397002000.0
1968,,,1373333366.66667,14880501861.1181,,,,35103499571.7253,,,,,,32714085234.2536,12440625312.8685,,183200000.0,21376353113.475,326323105.26476,460442689.376378,7483685770.83333,,,444901960.784314,,,44999910.00018,150000000.0,849333333.333333,,,160818235.866746,,66248441.4182466,191767441.604577,71829810519.8955,,18942729779.1,,7192102966.84119,70846276051.4727,1281281277.98148,1046191217.79942,,251247457.765525,5960212869.12968,,,773841494.339623,3083640785.83328,,,,,,,,,13505573866.6667,1079100000.0,3852147026.77302,102059353350.667,230290144067.622,301107124936.329,,831525946548.114,2582179864.15493,5932242990.65421,520564671447.416,,31475548481.4095,,,,44704583410.1154,8823033880.32993,166952937.135005,129785441507.456,65186666.6666667,,294468564.245272,107759910067.889,,1666666666.66667,,,41160065.8561054,,67514285.7142857,10090675902.5364,,,1610500000.0,,229750000.0,1991173819679.08,2716964388.42418,646800000.0,25612169678.3641,,367968799.705625,,488259685156.442,550681586258.126,59782469218.1001,19979704286.4594,7076465299.81141,42232612244.7286,,53085455870.6667,,3278584478.33023,8623172959.89803,2896598841.36046,474399471.622359,4619000000.0,87942231678.3505,1083839132.92869,561119775.55209,146601072685.511,,1353295458.68182,,1065714248.57143,,14600000.0,6119394892.37109,2662798934.88043,,,,,,,,,,,1801344537.81513,133817854435.888,514848312386.356,61445975.4216098,307287943447.572,,1066447130.82052,,,,3271422332.61996,,,1031669637.39553,,44926460299.3711,29360000000.0,,498478448025.492,,343771972.993855,,559956141.471556,29634802924.5906,,,,,311395937.241935,,,3330371551.21161,1014479810519.9,,215507162.56893,641214226.209493,5200997919.60083,,27817605743.2503,10159934136.7838,772231413.882625,,5180597620.64135,2004624217662.54,188879848.896121,,8041999160.0168,1112791100.0,,8632749269.48718,,485184189.62947,,29250927399.5033,3941700000.0,,6354262628.33537,517650793.650794,,,1948722162365.26,259590074.527934,,,,172200018.0,72004816964.9832,4187777711.11111,1678735632.18391,1309384861.92219,1425706091.0356,28084252.7582748,329991956.782713,1009760100.0,,286719885.312046,,47531396510.7183,,47544692629.811,,,241350000.0,,,31066819929.2853,79799968.0800128,,16074027.6473276,1562303429.31937,,453980096.208711,101931885333.332,,241956916.522192,6081009427.88461,,,,,29388713657.6809,,72004816964.9832,47544692629.811,758899950.0,1214666666.66667,17500000000.0,,,1037379252.41495,,365743583697.764,1592672413.7931,942500000000.0,,15350000.0,10034444444.4444,,,,,2491805013228.57,,,,17124793150.0827,1605857142.85714,1479599900.0
1969,,,1408888922.22222,16882284662.3657,,,,38250554132.4266,,,,,,36683365869.3385,13582798556.2404,,190205714.285714,23710735894.7022,330748244.539574,478298645.39382,8471006437.5,,,528137254.901961,,,47399905.2001896,164900000.0,920333333.333333,,,161210236.44168,,77361546.5067537,188039210.130379,79148411661.6902,,20524886616.4789,,8359596194.01253,79705614854.7674,1361360291.5873,1100551488.62689,,265040036.417215,6450175213.74923,,,853630203.773585,3359757126.3099,,,,,,,,,15414902266.6667,1230500000.0,4257253264.08834,114537042435.736,254979072046.622,346736994547.53,,919719196406.616,3112165727.38342,6524455205.81114,581088775537.232,,36038711599.541,,,,48812226414.7412,10070766720.5011,182182067.703568,141903068680.309,70106666.6666667,,318124701.478771,116464702803.218,,1961764705.88235,,,45168072.2689156,,67225714.2857143,11615657031.2387,,,1715399900.0,,249300000.0,2190645844017.68,3189740055.13982,668000050.0,27548985866.7524,,391820399.686544,,543141228550.762,612292516038.501,66290071402.7413,22857671325.3296,8337423312.88344,45922432866.4188,,58447995017.3333,,3787077343.72783,9743089607.49587,3007758796.89648,414709311.35296,5329333333.33333,97085082807.3751,1191239047.00876,698879720.448112,172204199480.889,,1458379416.64823,,978873232.394366,,15850000.0,7678698837.59346,2769198892.32044,,,,,,,,,,,1965546218.48739,148467779997.684,573068899802.793,65967973.6128106,344335059160.984,,1234878980.502,,,,3651622668.95103,,,1056391055.59617,,49719425357.8289,32480000000.0,,555484655217.095,,339913867.092785,,571854203.596216,32879112733.991,,,,,295062308.493948,,,3664552041.34299,1099213311661.69,,263108841.338416,625867985.273798,6634317346.27306,,34035946604.1815,11063065083.4888,788641964.643457,,5761588761.69421,2205073735188.11,239999808.000154,,8683116337.67325,1221305700.0,,9571800652.5641,,551263864.202218,,32415341504.9227,4460700000.0,,6969025825.62868,556293650.793651,,,2142707737631.77,242943783.142736,,,,188700037.0,79157009447.0174,4485777644.44444,1848563218.3908,1245234931.43233,1659893767.84419,28606411.398041,408853541.416567,1049400000.0,,306357284.571429,,53640451938.1521,,53653482086.1589,,,259650000.0,,,33738102482.1558,105419957.832017,,16452028.2974887,1796596910.99476,,471635621.561599,114393990287.83,,267732473.155718,6695336567.30769,,,,,32606082514.4233,,79157009447.0174,53653482086.1589,779200000.0,1289904761.90476,19466666666.6667,,,1168556628.86742,,408867237823.784,2004435483.87097,1019900000000.0,,16650000.0,10285111111.1111,,,,,2745215959143.12,,,,19256992297.2031,1965714285.71429,1747998800.0
